binomial,valid,Order,suborder,Family,length,lengthmeasure,conversion,intercept,slope,logmass,mass,intree,nameintree
Typhlops eperopeus,yes,Squamata,Serpentes,Typhlopidae,281.0,TL,Typhlopidae (Scharf et al. 2014),-8.012,3.693,1.03,10.7,yes,Typhlops eperopeus
Aprosdoketophis andreonei,yes,Squamata,Serpentes,Colubridae,392.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.04,10.9,no,NA
Rena humilis,yes,Squamata,Serpentes,Leptotyphlopidae,410.0,TL,Leptotyphlopidae**,-4.641,2.173,1.04,10.9,yes,Leptotyphlops humilis
Aparallactus moeruensis,yes,Squamata,Serpentes,Lamprophiidae,395.0,TL,Lamprophiidae,-6.286,2.821,1.04,10.9,no,NA
Trachyboa gularis,yes,Squamata,Serpentes,Tropidophiidae,320.0,TL,all snakes,-5.465,2.597,1.04,11.0,yes,Trachyboa gularis
Tantilla miyatai,yes,Squamata,Serpentes,Colubridae,394.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.04,11.0,no,NA
Tropidophis hendersoni,yes,Squamata,Serpentes,Tropidophiidae,280.0,SVL,all snakes,-5.773,2.786,1.04,11.1,no,NA
Atractus ronnie,yes,Squamata,Serpentes,Dipsadidae,342.0,TL,Dipsadidae**,-5.381,2.536,1.05,11.1,no,NA
Tantilla bocourti,yes,Squamata,Serpentes,Colubridae,396.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.05,11.2,no,NA
Rhinophis homolepis,yes,Squamata,Serpentes,Uropeltidae,275.0,TL,Booidea**,-5.982,2.882,1.05,11.2,yes,Rhinophis homolepis
Apostolepis tenuis,yes,Squamata,Serpentes,Dipsadidae,344.0,TL,Dipsadidae**,-5.381,2.536,1.05,11.3,no,NA
Argyrophis hypsobothrius,yes,Squamata,Serpentes,Typhlopidae,285.0,TL,Typhlopidae (Scharf et al. 2014),-8.012,3.693,1.05,11.3,no,NA
Indotyphlops porrectus,yes,Squamata,Serpentes,Typhlopidae,285.0,TL,Typhlopidae (Scharf et al. 2014),-8.012,3.693,1.05,11.3,no,NA
Aparallactus capensis,yes,Squamata,Serpentes,Lamprophiidae,400.0,TL,Lamprophiidae,-6.286,2.821,1.05,11.3,yes,Aparallactus capensis
Duberria variegata,yes,Squamata,Serpentes,Lamprophiidae,400.0,TL,Lamprophiidae,-6.286,2.821,1.05,11.3,yes,Duberria variegata
Lamprophis fiskii,yes,Squamata,Serpentes,Lamprophiidae,400.0,TL,Lamprophiidae,-6.286,2.821,1.05,11.3,yes,Lamprophis fiskii
Lycophidion nigromaculatum,yes,Squamata,Serpentes,Lamprophiidae,400.0,TL,Lamprophiidae,-6.286,2.821,1.05,11.3,yes,Lycophidion nigromaculatum
Pseudoxyrhopus sokosoko,yes,Squamata,Serpentes,Lamprophiidae,400.0,TL,Lamprophiidae,-6.286,2.821,1.05,11.3,no,NA
Tropidophis grapiuna,yes,Squamata,Serpentes,Tropidophiidae,324.0,TL,all snakes,-5.465,2.597,1.05,11.3,no,NA
Atractus micheleae,yes,Squamata,Serpentes,Dipsadidae,345.0,TL,Dipsadidae**,-5.381,2.536,1.05,11.3,no,NA
Atractus variegatus,yes,Squamata,Serpentes,Dipsadidae,345.0,TL,Dipsadidae**,-5.381,2.536,1.05,11.3,no,NA
Xenodon histricus,yes,Squamata,Serpentes,Dipsadidae,345.0,TL,Dipsadidae**,-5.381,2.536,1.05,11.3,yes,Lystrophis histricus
Macrocalamus schulzi,yes,Squamata,Serpentes,Colubridae,399.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.06,11.4,no,NA
Atractus darienensis,yes,Squamata,Serpentes,Dipsadidae,346.0,TL,Dipsadidae**,-5.381,2.536,1.06,11.4,no,NA
Enulius roatanensis,yes,Squamata,Serpentes,Dipsadidae,346.0,TL,Dipsadidae**,-5.381,2.536,1.06,11.4,no,NA
Calamaria linnaei,yes,Squamata,Serpentes,Colubridae,400.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.06,11.4,no,NA
Eirenis eiselti,yes,Squamata,Serpentes,Colubridae,400.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.06,11.4,yes,Eirenis eiselti
Eirenis hakkariensis,yes,Squamata,Serpentes,Colubridae,400.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.06,11.4,no,NA
Ficimia olivacea,yes,Squamata,Serpentes,Colubridae,400.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.06,11.4,no,NA
Lytorhynchus gasperetti,yes,Squamata,Serpentes,Colubridae,400.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.06,11.4,no,NA
Macrocalamus lateralis,yes,Squamata,Serpentes,Colubridae,400.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.06,11.4,no,NA
Oligodon mouhoti,yes,Squamata,Serpentes,Colubridae,400.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.06,11.4,no,NA
Platyceps thomasi,yes,Squamata,Serpentes,Colubridae,400.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.06,11.4,no,NA
Platyceps variabilis,yes,Squamata,Serpentes,Colubridae,400.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.06,11.4,no,NA
Apostolepis cerradoensis,yes,Squamata,Serpentes,Dipsadidae,347.3,TL,Dipsadidae**,-5.381,2.536,1.06,11.5,no,NA
Rhynchocalamus barani,yes,Squamata,Serpentes,Colubridae,402.6,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.07,11.6,no,NA
Eirenis collaris,yes,Squamata,Serpentes,Colubridae,403.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.07,11.7,yes,Eirenis collaris
Urotheca myersi,yes,Squamata,Serpentes,Dipsadidae,349.0,TL,Dipsadidae**,-5.381,2.536,1.07,11.7,no,NA
Tantilla insulamontana,yes,Squamata,Serpentes,Colubridae,404.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.07,11.7,no,NA
Amblyodipsas katangensis,yes,Squamata,Serpentes,Lamprophiidae,405.0,TL,Lamprophiidae,-6.286,2.821,1.07,11.7,no,NA
Uropeltis phipsonii,yes,Squamata,Serpentes,Uropeltidae,280.0,TL,Booidea**,-5.982,2.882,1.07,11.8,no,NA
Atractus altagratiae,yes,Squamata,Serpentes,Dipsadidae,350.0,TL,Dipsadidae**,-5.381,2.536,1.07,11.8,no,NA
Atractus trilineatus,yes,Squamata,Serpentes,Dipsadidae,350.0,TL,Dipsadidae**,-5.381,2.536,1.07,11.8,no,NA
Carphophis amoenus,yes,Squamata,Serpentes,Dipsadidae,350.0,TL,Dipsadidae**,-5.381,2.536,1.07,11.8,yes,Carphophis amoenus
Geophis juliai,yes,Squamata,Serpentes,Dipsadidae,350.0,TL,Dipsadidae**,-5.381,2.536,1.07,11.8,no,NA
Helicops pastazae,yes,Squamata,Serpentes,Dipsadidae,350.0,TL,Dipsadidae**,-5.381,2.536,1.07,11.8,no,NA
Tropidophis pardalis,yes,Squamata,Serpentes,Tropidophiidae,287.0,SVL,all snakes,-5.773,2.786,1.07,11.9,yes,Tropidophis pardalis
Pseudoxyrhopus oblectator,yes,Squamata,Serpentes,Lamprophiidae,407.0,TL,Lamprophiidae,-6.286,2.821,1.08,11.9,no,NA
Aspidura trachyprocta,yes,Squamata,Serpentes,Natricidae,383.0,TL,Natricidae (Scharf et al. 2014),-7.456,3.303,1.08,11.9,yes,Aspidura trachyprocta
Apostolepis christineae,yes,Squamata,Serpentes,Dipsadidae,352.0,TL,Dipsadidae**,-5.381,2.536,1.08,11.9,no,NA
Atractus multicinctus,yes,Squamata,Serpentes,Dipsadidae,352.0,TL,Dipsadidae**,-5.381,2.536,1.08,11.9,no,NA
Ninia maculata,yes,Squamata,Serpentes,Dipsadidae,352.0,TL,Dipsadidae**,-5.381,2.536,1.08,11.9,no,NA
Achalinus hainanus,yes,Squamata,Serpentes,Xenodermatidae,320.0,TL,Caenophidia**,-4.960,2.410,1.08,12.0,no,NA
Liopeltis calamaria,yes,Squamata,Serpentes,Colubridae,407.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.08,12.0,no,NA
Anilios robertsi,yes,Squamata,Serpentes,Typhlopidae,290.0,TL,Typhlopidae (Scharf et al. 2014),-8.012,3.693,1.08,12.1,no,NA
Argyrophis koshunensis,yes,Squamata,Serpentes,Typhlopidae,290.0,TL,Typhlopidae (Scharf et al. 2014),-8.012,3.693,1.08,12.1,no,NA
Xenopholis scalaris,yes,Squamata,Serpentes,Dipsadidae,354.0,TL,Dipsadidae**,-5.381,2.536,1.08,12.1,yes,Xenopholis scalaris
Buhoma vauerocegae,yes,Squamata,Serpentes,Lamprophiidae,410.0,TL,Lamprophiidae,-6.286,2.821,1.08,12.2,no,NA
Dendrolycus elapoides,yes,Squamata,Serpentes,Lamprophiidae,410.0,TL,Lamprophiidae,-6.286,2.821,1.08,12.2,no,NA
Oligodon cruentatus,yes,Squamata,Serpentes,Colubridae,410.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.09,12.2,yes,Oligodon cruentatus
Atractus oculotemporalis,yes,Squamata,Serpentes,Dipsadidae,355.0,TL,Dipsadidae**,-5.381,2.536,1.09,12.2,no,NA
Geophis chalybeus,yes,Squamata,Serpentes,Dipsadidae,355.0,TL,Dipsadidae**,-5.381,2.536,1.09,12.2,no,NA
Rhadinella pegosalyta,yes,Squamata,Serpentes,Dipsadidae,355.0,TL,Dipsadidae**,-5.381,2.536,1.09,12.2,no,NA
Erythrolamprus pyburni,yes,Squamata,Serpentes,Dipsadidae,357.0,TL,Dipsadidae**,-5.381,2.536,1.09,12.4,no,NA
Tantilla psittaca,yes,Squamata,Serpentes,Colubridae,413.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.09,12.4,no,NA
Geophis rostralis,yes,Squamata,Serpentes,Dipsadidae,292.0,SVL,Dipsadidae**,-5.219,2.561,1.09,12.4,no,NA
Rhinophis lineatus,yes,Squamata,Serpentes,Uropeltidae,286.0,TL,Booidea**,-5.982,2.882,1.10,12.5,no,NA
Rhinotyphlops schinzi,yes,Squamata,Serpentes,Typhlopidae,293.0,TL,Typhlopidae (Scharf et al. 2014),-8.012,3.693,1.10,12.5,no,NA
Tantilla taeniata,yes,Squamata,Serpentes,Colubridae,415.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.10,12.6,no,NA
Xenophidion acanthognathus,yes,Squamata,Serpentes,Xenophidiidae,337.0,TL,all snakes,-5.465,2.597,1.10,12.6,no,NA
Lioheterophis iheringi,yes,Squamata,Serpentes,Dipsadidae,360.0,TL,Dipsadidae**,-5.381,2.536,1.10,12.6,no,NA
Magliophis exiguum,yes,Squamata,Serpentes,Dipsadidae,360.5,TL,Dipsadidae**,-5.381,2.536,1.10,12.7,yes,Arrhyton exiguum
Liophidium pattoni,yes,Squamata,Serpentes,Lamprophiidae,417.0,TL,Lamprophiidae,-6.286,2.821,1.11,12.7,no,NA
Atractus boulengerii,yes,Squamata,Serpentes,Dipsadidae,362.0,TL,Dipsadidae**,-5.381,2.536,1.11,12.8,no,NA
Bitis schneideri,yes,Squamata,Serpentes,Viperidae,280.0,TL,Viperidae,-6.013,2.910,1.11,12.8,no,NA
Geophis tectus,yes,Squamata,Serpentes,Dipsadidae,363.0,TL,Dipsadidae**,-5.381,2.536,1.11,12.9,no,NA
Calamaria bitorques,yes,Squamata,Serpentes,Colubridae,420.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.11,13.0,no,NA
Oligodon everetti,yes,Squamata,Serpentes,Colubridae,420.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.11,13.0,no,NA
Virginia valeriae,yes,Squamata,Serpentes,Natricidae,393.0,TL,Natricidae (Scharf et al. 2014),-7.456,3.303,1.11,13.0,no,NA
Micrurus camilae,yes,Squamata,Serpentes,Elapidae,291.8,TL,Elapidae,-4.819,2.407,1.11,13.0,no,NA
Anilios kimberleyensis,yes,Squamata,Serpentes,Typhlopidae,296.0,TL,Typhlopidae (Scharf et al. 2014),-8.012,3.693,1.11,13.0,yes,Austrotyphlops kimberleyensis
Apostolepis niceforoi,yes,Squamata,Serpentes,Dipsadidae,365.0,TL,Dipsadidae**,-5.381,2.536,1.12,13.1,no,NA
Apostolepis quirogai,yes,Squamata,Serpentes,Dipsadidae,365.0,TL,Dipsadidae**,-5.381,2.536,1.12,13.1,no,NA
Atractus nigriventris,yes,Squamata,Serpentes,Dipsadidae,365.0,TL,Dipsadidae**,-5.381,2.536,1.12,13.1,no,NA
Coniophanes joanae,yes,Squamata,Serpentes,Dipsadidae,365.0,TL,Dipsadidae**,-5.381,2.536,1.12,13.1,no,NA
Amerotyphlops amoipira,yes,Squamata,Serpentes,Typhlopidae,297.0,TL,Typhlopidae (Scharf et al. 2014),-8.012,3.693,1.12,13.2,no,NA
Oligodon nikhili,yes,Squamata,Serpentes,Colubridae,423.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.12,13.2,no,NA
Gerrhopilus depressiceps,yes,Squamata,Serpentes,Gerrhopilidae,328.0,TL,Scolecophidia,-6.596,3.068,1.12,13.3,no,NA
Calamaria eiselti,yes,Squamata,Serpentes,Colubridae,424.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.12,13.3,no,NA
Pseudoxyrhopus ambreensis,yes,Squamata,Serpentes,Lamprophiidae,423.0,TL,Lamprophiidae,-6.286,2.821,1.12,13.3,yes,Pseudoxyrhopus ambreensis
Atractus nigricaudus,yes,Squamata,Serpentes,Dipsadidae,367.0,TL,Dipsadidae**,-5.381,2.536,1.12,13.3,no,NA
Geophis dunni,yes,Squamata,Serpentes,Dipsadidae,367.0,TL,Dipsadidae**,-5.381,2.536,1.12,13.3,no,NA
Thamnophis bogerti,yes,Squamata,Serpentes,Natricidae,396.0,TL,Natricidae (Scharf et al. 2014),-7.456,3.303,1.12,13.3,no,NA
Geophis juarezi,yes,Squamata,Serpentes,Dipsadidae,300.0,SVL,Dipsadidae**,-5.219,2.561,1.12,13.3,no,NA
Chionactis annulata,yes,Squamata,Serpentes,Colubridae,425.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.13,13.3,no,NA
Tantilla robusta,yes,Squamata,Serpentes,Colubridae,426.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.13,13.4,no,NA
Psomophis joberti,yes,Squamata,Serpentes,Dipsadidae,301.0,SVL,Dipsadidae**,-5.219,2.561,1.13,13.4,yes,Psomophis joberti
Atractus mijaresi,yes,Squamata,Serpentes,Dipsadidae,369.1,TL,Dipsadidae**,-5.381,2.536,1.13,13.5,no,NA
Elapomorphus spegazzinii,yes,Squamata,Serpentes,Dipsadidae,370.0,TL,Dipsadidae**,-5.381,2.536,1.13,13.6,no,NA
Erythrolamprus subocularis,yes,Squamata,Serpentes,Dipsadidae,370.0,TL,Dipsadidae**,-5.381,2.536,1.13,13.6,no,NA
Geophis nigroalbus,yes,Squamata,Serpentes,Dipsadidae,370.0,TL,Dipsadidae**,-5.381,2.536,1.13,13.6,no,NA
Phalotris bilineatus,yes,Squamata,Serpentes,Dipsadidae,370.0,TL,Dipsadidae**,-5.381,2.536,1.13,13.6,no,NA
Rodriguesophis chui,yes,Squamata,Serpentes,Dipsadidae,370.0,TL,Dipsadidae**,-5.381,2.536,1.13,13.6,no,NA
Tropidophis battersbyi,yes,Squamata,Serpentes,Tropidophiidae,347.0,TL,all snakes,-5.465,2.597,1.13,13.6,no,NA
Oligodon kampucheaensis,yes,Squamata,Serpentes,Colubridae,428.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.13,13.6,no,NA
Hypsiglena catalinae,yes,Squamata,Serpentes,Dipsadidae,371.0,TL,Dipsadidae**,-5.381,2.536,1.13,13.6,no,NA
Gongylosoma mukutense,yes,Squamata,Serpentes,Colubridae,429.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.14,13.7,no,NA
Anilios wiedii,yes,Squamata,Serpentes,Typhlopidae,300.0,TL,Typhlopidae (Scharf et al. 2014),-8.012,3.693,1.14,13.7,no,NA
Gerrhopilus thurstoni,yes,Squamata,Serpentes,Gerrhopilidae,300.0,TL,Typhlopidae (Scharf et al. 2014),-8.012,3.693,1.14,13.7,no,NA
Ramphotyphlops supranasalis,yes,Squamata,Serpentes,Typhlopidae,300.0,TL,Typhlopidae (Scharf et al. 2014),-8.012,3.693,1.14,13.7,no,NA
Typhlops disparilis,yes,Squamata,Serpentes,Typhlopidae,300.0,TL,Typhlopidae (Scharf et al. 2014),-8.012,3.693,1.14,13.7,no,NA
Atractus matthewi,yes,Squamata,Serpentes,Dipsadidae,372.0,TL,Dipsadidae**,-5.381,2.536,1.14,13.7,no,NA
Atractus resplendens,yes,Squamata,Serpentes,Dipsadidae,372.0,TL,Dipsadidae**,-5.381,2.536,1.14,13.7,no,NA
Atractus typhon,yes,Squamata,Serpentes,Dipsadidae,372.0,TL,Dipsadidae**,-5.381,2.536,1.14,13.7,no,NA
Geophis nigrocinctus,yes,Squamata,Serpentes,Dipsadidae,372.0,TL,Dipsadidae**,-5.381,2.536,1.14,13.7,no,NA
Geophis tarascae,yes,Squamata,Serpentes,Dipsadidae,372.0,TL,Dipsadidae**,-5.381,2.536,1.14,13.7,no,NA
Chionactis palarostris,yes,Squamata,Serpentes,Colubridae,430.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.14,13.8,no,NA
Atractus eriki,yes,Squamata,Serpentes,Dipsadidae,373.0,TL,Dipsadidae**,-5.381,2.536,1.14,13.8,no,NA
Calamodontophis ronaldoi,yes,Squamata,Serpentes,Dipsadidae,373.0,TL,Dipsadidae**,-5.381,2.536,1.14,13.8,no,NA
Typhlops notorachius,yes,Squamata,Serpentes,Typhlopidae,301.0,TL,Typhlopidae (Scharf et al. 2014),-8.012,3.693,1.14,13.8,yes,Typhlops notorachius
Hebius sauteri,yes,Squamata,Serpentes,Natricidae,401.0,TL,Natricidae (Scharf et al. 2014),-7.456,3.303,1.14,13.9,yes,Amphiesma sauteri
Psammophis pulcher,yes,Squamata,Serpentes,Lamprophiidae,430.0,TL,Lamprophiidae,-6.286,2.821,1.14,13.9,no,NA
Ialtris haetianus,yes,Squamata,Serpentes,Dipsadidae,305.0,SVL,Dipsadidae**,-5.219,2.561,1.14,13.9,yes,Darlingtonia haetiana
Brachyurophis morrisi,yes,Squamata,Serpentes,Elapidae,300.0,TL,Elapidae,-4.819,2.407,1.14,13.9,no,NA
Simoselaps bertholdi,yes,Squamata,Serpentes,Elapidae,300.0,TL,Elapidae,-4.819,2.407,1.14,13.9,yes,Simoselaps bertholdi
Vermicella calonotus,yes,Squamata,Serpentes,Elapidae,300.0,TL,Elapidae,-4.819,2.407,1.14,13.9,yes,Simoselaps calonotus
Chionactis occipitalis,yes,Squamata,Serpentes,Colubridae,432.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.14,13.9,yes,Chionactis occipitalis
Atractus hostilitractus,yes,Squamata,Serpentes,Dipsadidae,374.0,TL,Dipsadidae**,-5.381,2.536,1.14,13.9,no,NA
Rhadinaea vermiculaticeps,yes,Squamata,Serpentes,Dipsadidae,374.0,TL,Dipsadidae**,-5.381,2.536,1.14,13.9,no,NA
Tropidophis fuscus,yes,Squamata,Serpentes,Tropidophiidae,304.0,SVL,all snakes,-5.773,2.786,1.14,13.9,no,NA
Rhinoleptus koniagui,yes,Squamata,Serpentes,Leptotyphlopidae,460.0,TL,Leptotyphlopidae**,-4.641,2.173,1.15,14.0,no,NA
Indotyphlops albiceps,yes,Squamata,Serpentes,Typhlopidae,302.0,TL,Typhlopidae (Scharf et al. 2014),-8.012,3.693,1.15,14.0,yes,Ramphotyphlops albiceps
Amnesteophis melanauchen,yes,Squamata,Serpentes,Dipsadidae,375.0,TL,Dipsadidae**,-5.381,2.536,1.15,14.0,no,NA
Apostolepis nigrolineata,yes,Squamata,Serpentes,Dipsadidae,375.0,TL,Dipsadidae**,-5.381,2.536,1.15,14.0,no,NA
Atractus dunni,yes,Squamata,Serpentes,Dipsadidae,375.0,TL,Dipsadidae**,-5.381,2.536,1.15,14.0,no,NA
Coniophanes meridanus,yes,Squamata,Serpentes,Dipsadidae,375.0,TL,Dipsadidae**,-5.381,2.536,1.15,14.0,no,NA
Arrhyton tanyplectum,yes,Squamata,Serpentes,Dipsadidae,306.0,SVL,Dipsadidae**,-5.219,2.561,1.15,14.0,yes,Arrhyton tanyplectum
Tropidophis taczanowskyi,yes,Squamata,Serpentes,Tropidophiidae,305.0,SVL,all snakes,-5.773,2.786,1.15,14.1,no,NA
Rhadinella kinkelini,yes,Squamata,Serpentes,Dipsadidae,376.0,TL,Dipsadidae**,-5.381,2.536,1.15,14.1,no,NA
Lycophidion variegatum,yes,Squamata,Serpentes,Lamprophiidae,433.0,TL,Lamprophiidae,-6.286,2.821,1.15,14.2,no,NA
Eutrachelophis bassleri,yes,Squamata,Serpentes,Dipsadidae,377.0,TL,Dipsadidae**,-5.381,2.536,1.15,14.2,no,NA
Geophis rhodogaster,yes,Squamata,Serpentes,Dipsadidae,377.0,TL,Dipsadidae**,-5.381,2.536,1.15,14.2,no,NA
Thamnophis lineri,yes,Squamata,Serpentes,Natricidae,404.0,TL,Natricidae (Scharf et al. 2014),-7.456,3.303,1.15,14.2,no,NA
Calamaria crassa,yes,Squamata,Serpentes,Colubridae,436.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.15,14.2,no,NA
Amblyodipsas teitana,yes,Squamata,Serpentes,Lamprophiidae,434.0,TL,Lamprophiidae,-6.286,2.821,1.15,14.3,no,NA
Oligodon theobaldi,yes,Squamata,Serpentes,Colubridae,437.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.16,14.3,yes,Oligodon theobaldi
Cylindrophis aruensis,yes,Squamata,Serpentes,Cylindrophiidae,300.0,TL,Booidea**,-5.982,2.882,1.16,14.4,no,NA
Rhinophis drummondhayi,yes,Squamata,Serpentes,Uropeltidae,300.0,TL,Booidea**,-5.982,2.882,1.16,14.4,yes,Rhinophis drummondhayi
Uropeltis melanogaster,yes,Squamata,Serpentes,Uropeltidae,300.0,TL,Booidea**,-5.982,2.882,1.16,14.4,yes,Uropeltis melanogaster
Ficimia variegata,yes,Squamata,Serpentes,Colubridae,439.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.16,14.5,no,NA
Atractus modestus,yes,Squamata,Serpentes,Dipsadidae,380.0,TL,Dipsadidae**,-5.381,2.536,1.16,14.5,no,NA
Atractus werneri,yes,Squamata,Serpentes,Dipsadidae,380.0,TL,Dipsadidae**,-5.381,2.536,1.16,14.5,no,NA
Ninia pavimentata,yes,Squamata,Serpentes,Dipsadidae,380.0,TL,Dipsadidae**,-5.381,2.536,1.16,14.5,no,NA
Gongylosoma nicobariensis,yes,Squamata,Serpentes,Colubridae,439.4,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.16,14.5,no,NA
Argyrophis siamensis,yes,Squamata,Serpentes,Typhlopidae,305.0,TL,Typhlopidae (Scharf et al. 2014),-8.012,3.693,1.16,14.5,no,NA
Lytorhynchus diadema,yes,Squamata,Serpentes,Colubridae,440.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.16,14.6,yes,Lytorhynchus diadema
Oligodon taeniatus,yes,Squamata,Serpentes,Colubridae,440.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.16,14.6,yes,Oligodon taeniatus
Platyceps somalicus,yes,Squamata,Serpentes,Colubridae,440.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.16,14.6,no,NA
Rhadinella tolpanorum,yes,Squamata,Serpentes,Dipsadidae,381.0,TL,Dipsadidae**,-5.381,2.536,1.16,14.6,no,NA
Duberria shirana,yes,Squamata,Serpentes,Lamprophiidae,438.0,TL,Lamprophiidae,-6.286,2.821,1.17,14.6,no,NA
Plagiopholis styani,yes,Squamata,Serpentes,Pseudoxenodontidae,396.0,TL,Colubridae (Sensu lato),-4.912,2.340,1.17,14.7,yes,Plagiopholis styani
Anilios margaretae,yes,Squamata,Serpentes,Typhlopidae,306.0,TL,Typhlopidae (Scharf et al. 2014),-8.012,3.693,1.17,14.7,no,NA
Amblyodipsas rodhaini,yes,Squamata,Serpentes,Lamprophiidae,439.0,TL,Lamprophiidae,-6.286,2.821,1.17,14.7,no,NA
Taeniophallus persimilis,yes,Squamata,Serpentes,Dipsadidae,312.0,SVL,Dipsadidae**,-5.219,2.561,1.17,14.7,no,NA
Atractus macondo,yes,Squamata,Serpentes,Dipsadidae,383.0,TL,Dipsadidae**,-5.381,2.536,1.17,14.8,no,NA
Buhoma depressiceps,yes,Squamata,Serpentes,Lamprophiidae,440.0,TL,Lamprophiidae,-6.286,2.821,1.17,14.8,yes,Buhoma depressiceps
Prosymna frontalis,yes,Squamata,Serpentes,Lamprophiidae,440.0,TL,Lamprophiidae,-6.286,2.821,1.17,14.8,no,NA
Oligodon moricei,yes,Squamata,Serpentes,Colubridae,443.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.17,14.8,no,NA
Tantilla petersi,yes,Squamata,Serpentes,Colubridae,443.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.17,14.8,no,NA
Geophis nasalis,yes,Squamata,Serpentes,Dipsadidae,384.0,TL,Dipsadidae**,-5.381,2.536,1.17,14.9,no,NA
Cyclocorus nuchalis,yes,Squamata,Serpentes,Colubridae,444.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.17,14.9,no,NA
Heteroliodon lava,yes,Squamata,Serpentes,Lamprophiidae,441.0,TL,Lamprophiidae,-6.286,2.821,1.17,14.9,no,NA
Storeria occipitomaculata,yes,Squamata,Serpentes,Natricidae,410.0,TL,Natricidae (Scharf et al. 2014),-7.456,3.303,1.17,14.9,yes,Storeria occipitomaculata
Apostolepis pymi,yes,Squamata,Serpentes,Dipsadidae,385.0,TL,Dipsadidae**,-5.381,2.536,1.18,15.0,no,NA
Atractus medusa,yes,Squamata,Serpentes,Dipsadidae,385.0,TL,Dipsadidae**,-5.381,2.536,1.18,15.0,no,NA
Emmochliophis miops,yes,Squamata,Serpentes,Dipsadidae,385.0,TL,Dipsadidae**,-5.381,2.536,1.18,15.0,no,NA
Liopeltis rappi,yes,Squamata,Serpentes,Colubridae,445.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.18,15.0,no,NA
Caaeteboia amarali,yes,Squamata,Serpentes,Dipsadidae,386.0,TL,Dipsadidae**,-5.381,2.536,1.18,15.1,yes,Liophis amarali
Ninia sebae,yes,Squamata,Serpentes,Dipsadidae,386.0,TL,Dipsadidae**,-5.381,2.536,1.18,15.1,no,NA
Rhadinaea myersi,yes,Squamata,Serpentes,Dipsadidae,386.0,TL,Dipsadidae**,-5.381,2.536,1.18,15.1,no,NA
Parafimbrios lao,yes,Squamata,Serpentes,Xenodermatidae,353.0,TL,Caenophidia**,-4.960,2.410,1.18,15.1,no,NA
Sonora aemula,yes,Squamata,Serpentes,Colubridae,447.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.18,15.2,no,NA
Lycophidion pembanum,yes,Squamata,Serpentes,Lamprophiidae,444.0,TL,Lamprophiidae,-6.286,2.821,1.18,15.2,no,NA
Rodriguesophis scriptorcibatus,yes,Squamata,Serpentes,Dipsadidae,316.0,SVL,Dipsadidae**,-5.219,2.561,1.18,15.2,no,NA
Oligodon jintakunei,yes,Squamata,Serpentes,Colubridae,448.0,TL,Colubridae (Scharf et al. 2014),-5.548,2.539,1.18,15.3,no,NA
